-Point(698,304) in cluster: 4
-Point(228,241) in cluster: 1
-Point(184,310) in cluster: 1
-Point(452,936) in cluster: 3
-Point(934,719) in cluster: 0
-Point(422,64) in cluster: 1
-Point(108,225) in cluster: 1
-Point(3,40) in cluster: 1
-Point(239,877) in cluster: 3
-Point(626,492) in cluster: 4
-Point(378,90) in cluster: 1
-Point(860,534) in cluster: 0
-Point(728,123) in cluster: 4
-Point(170,722) in cluster: 3
-Point(136,844) in cluster: 3
-Point(297,950) in cluster: 3
-Point(94,424) in cluster: 2
-Point(387,19) in cluster: 1
-Point(339,66) in cluster: 1
-Point(260,625) in cluster: 2
-Point(582,214) in cluster: 4
-Point(176,119) in cluster: 1
-Point(270,946) in cluster: 3
-Point(628,668) in cluster: 0
-Point(380,562) in cluster: 2
-Point(533,394) in cluster: 4
-Point(320,172) in cluster: 1
-Point(617,730) in cluster: 0
-Point(886,867) in cluster: 0
-Point(666,236) in cluster: 4
-Point(38,415) in cluster: 2
-Point(452,360) in cluster: 2
-Point(505,169) in cluster: 1
-Point(882,619) in cluster: 0
-Point(61,517) in cluster: 2
-Point(530,312) in cluster: 4
-Point(723,34) in cluster: 4
-Point(211,824) in cluster: 3
-Point(523,779) in cluster: 3
-Point(630,369) in cluster: 4
-Point(305,124) in cluster: 1
-Point(955,336) in cluster: 4
-Point(344,460) in cluster: 2
-Point(845,406) in cluster: 4
-Point(376,437) in cluster: 2
-Point(641,383) in cluster: 4
-Point(367,964) in cluster: 3
-Point(305,150) in cluster: 1
-Point(278,45) in cluster: 1
-Point(598,634) in cluster: 0
-Point(717,809) in cluster: 0
-Point(104,471) in cluster: 2
-Point(488,943) in cluster: 3
-Point(696,517) in cluster: 4
-Point(835,763) in cluster: 0
-Point(445,383) in cluster: 2
-Point(3,726) in cluster: 2
-Point(74,122) in cluster: 1
-Point(165,850) in cluster: 3
-Point(215,872) in cluster: 3
-Point(233,229) in cluster: 1
-Point(287,466) in cluster: 2
-Point(221,101) in cluster: 1
-Point(766,766) in cluster: 0
-Point(812,127) in cluster: 4
-Point(264,145) in cluster: 1
-Point(161,944) in cluster: 3
-Point(269,493) in cluster: 2
-Point(863,749) in cluster: 0
-Point(198,367) in cluster: 2
-Point(714,856) in cluster: 0
-Point(667,379) in cluster: 4
-Point(864,328) in cluster: 4
-Point(194,66) in cluster: 1
-Point(365,40) in cluster: 1
-Point(201,275) in cluster: 1
-Point(681,975) in cluster: 0
-Point(127,820) in cluster: 3
-Point(616,631) in cluster: 0
-Point(29,393) in cluster: 2
-Point(722,43) in cluster: 4
-Point(116,690) in cluster: 2
-Point(359,138) in cluster: 1
-Point(888,164) in cluster: 4
-Point(705,706) in cluster: 0
-Point(442,340) in cluster: 1
-Point(265,221) in cluster: 1
-Point(612,96) in cluster: 4
-Point(108,200) in cluster: 1
-Point(154,65) in cluster: 1
-Point(365,494) in cluster: 2
-Point(502,780) in cluster: 3
-Point(147,472) in cluster: 2
-Point(933,576) in cluster: 0
-Point(880,35) in cluster: 4
-Point(573,440) in cluster: 4
-Point(592,208) in cluster: 4
-Point(710,807) in cluster: 0
-Point(295,154) in cluster: 1
-Point(523,579) in cluster: 2
-Point(352,566) in cluster: 2
-Point(130,254) in cluster: 1
-Point(155,172) in cluster: 1
-Point(515,433) in cluster: 2
-Point(453,984) in cluster: 3
-Point(985,477) in cluster: 4
-Point(575,30) in cluster: 4
-Point(842,890) in cluster: 0
-Point(623,401) in cluster: 4
-Point(680,5) in cluster: 4
-Point(997,660) in cluster: 0
-Point(864,706) in cluster: 0
-Point(26,938) in cluster: 3
-Point(10,979) in cluster: 3
-Point(315,746) in cluster: 3
-Point(775,223) in cluster: 4
-Point(835,23) in cluster: 4
-Point(807,754) in cluster: 0
-Point(978,232) in cluster: 4
-Point(806,236) in cluster: 4
-Point(264,572) in cluster: 2
-Point(387,730) in cluster: 3
-Point(704,133) in cluster: 4
-Point(693,416) in cluster: 4
-Point(814,289) in cluster: 4
-Point(294,528) in cluster: 2
-Point(621,441) in cluster: 4
-Point(490,236) in cluster: 1
-Point(824,61) in cluster: 4
-Point(165,579) in cluster: 2
-Point(731,751) in cluster: 0
-Point(731,43) in cluster: 4
-Point(65,800) in cluster: 3
-Point(245,599) in cluster: 2
-Point(554,694) in cluster: 0
-Point(290,110) in cluster: 1
-Point(11,133) in cluster: 1
-Point(417,117) in cluster: 1
-Point(590,205) in cluster: 4
-Point(290,499) in cluster: 2
-Point(215,701) in cluster: 3
-Point(244,980) in cluster: 3
-Point(822,430) in cluster: 4
-Point(121,299) in cluster: 1
-Point(365,184) in cluster: 1
-Point(401,530) in cluster: 2
-Point(33,62) in cluster: 1
-Point(588,561) in cluster: 0
-Point(834,192) in cluster: 4
-Point(287,300) in cluster: 1
-Point(629,710) in cluster: 0
-Point(67,380) in cluster: 2
-Point(40,369) in cluster: 2
-Point(474,988) in cluster: 3
-Point(682,361) in cluster: 4
-Point(213,579) in cluster: 2
-Point(409,387) in cluster: 2
-Point(283,758) in cluster: 3
-Point(661,161) in cluster: 4
-Point(977,420) in cluster: 4
-Point(569,987) in cluster: 3
-Point(745,682) in cluster: 0
-Point(956,317) in cluster: 4
-Point(891,984) in cluster: 0
-Point(532,719) in cluster: 3
-Point(74,105) in cluster: 1
-Point(447,14) in cluster: 1
-Point(351,191) in cluster: 1
-Point(17,680) in cluster: 2
-Point(702,442) in cluster: 4
-Point(87,890) in cluster: 3
-Point(572,309) in cluster: 4
-Point(40,99) in cluster: 1
-Point(504,421) in cluster: 2
-Point(991,494) in cluster: 4
-Point(539,37) in cluster: 1
-Point(0,360) in cluster: 2
-Point(725,446) in cluster: 4
-Point(217,138) in cluster: 1
-Point(643,509) in cluster: 4
-Point(692,60) in cluster: 4
-Point(724,685) in cluster: 0
-Point(152,398) in cluster: 2
-Point(113,658) in cluster: 2
-Point(951,291) in cluster: 4
-Point(369,180) in cluster: 1
-Point(946,356) in cluster: 4
-Point(254,629) in cluster: 2
-Point(819,189) in cluster: 4
-Point(348,945) in cluster: 3
-Point(842,858) in cluster: 0
-Point(824,939) in cluster: 0
-Point(258,544) in cluster: 2
-Point(371,733) in cluster: 3
-Point(56,653) in cluster: 2
-Point(725,972) in cluster: 0
-Point(569,969) in cluster: 3
-Point(890,965) in cluster: 0
-Point(346,139) in cluster: 1
-Point(78,691) in cluster: 2
-Point(101,750) in cluster: 3
-Point(791,825) in cluster: 0
-Point(140,770) in cluster: 3
-Point(343,512) in cluster: 2
-Point(991,23) in cluster: 4
-Point(379,988) in cluster: 3
-Point(883,121) in cluster: 4
-Point(455,758) in cluster: 3
-Point(91,361) in cluster: 2
-Point(711,173) in cluster: 4
-Point(471,792) in cluster: 3
-Point(416,4) in cluster: 1
-Point(49,259) in cluster: 1
-Point(57,577) in cluster: 2
-Point(364,364) in cluster: 2
-Point(789,404) in cluster: 4
-Point(404,627) in cluster: 2
-Point(320,562) in cluster: 2
-Point(104,566) in cluster: 2
-Point(863,807) in cluster: 0
-Point(364,418) in cluster: 2
-Point(459,691) in cluster: 3
-Point(623,508) in cluster: 4
-Point(49,215) in cluster: 1
-Point(443,373) in cluster: 2
-Point(279,84) in cluster: 1
-Point(697,396) in cluster: 4
-Point(862,694) in cluster: 0
-Point(144,797) in cluster: 3
-Point(14,8) in cluster: 1
-Point(849,450) in cluster: 4
-Point(941,360) in cluster: 4
-Point(895,735) in cluster: 0
-Point(665,256) in cluster: 4
-Point(340,145) in cluster: 1
-Point(461,2) in cluster: 1
-Point(648,340) in cluster: 4
-Point(847,62) in cluster: 4
-Point(981,637) in cluster: 0
-Point(460,185) in cluster: 1
-Point(934,674) in cluster: 0
-Point(752,254) in cluster: 4
-Point(114,245) in cluster: 1
-Point(460,920) in cluster: 3
-Point(678,291) in cluster: 4
-Point(565,673) in cluster: 0
-Point(545,555) in cluster: 0
-Point(714,910) in cluster: 0
-Point(531,910) in cluster: 3
-Point(948,458) in cluster: 4
-Point(94,307) in cluster: 2
-Point(411,340) in cluster: 1
-Point(884,131) in cluster: 4
-Point(819,875) in cluster: 0
-Point(493,188) in cluster: 1
-Point(325,244) in cluster: 1
-Point(848,353) in cluster: 4
-Point(186,487) in cluster: 2
-Point(266,401) in cluster: 2
-Point(726,544) in cluster: 0
-Point(866,338) in cluster: 4
-Point(584,378) in cluster: 4
-Point(804,227) in cluster: 4
-Point(304,845) in cluster: 3
-Point(792,949) in cluster: 0
-Point(949,620) in cluster: 0
-Point(98,645) in cluster: 2
-Point(463,88) in cluster: 1
-Point(866,666) in cluster: 0
-Point(903,397) in cluster: 4
-Point(599,949) in cluster: 0
-Point(935,935) in cluster: 0
-Point(120,857) in cluster: 3
-Point(938,250) in cluster: 4
-Point(934,631) in cluster: 0
-Point(804,522) in cluster: 0
-Point(134,264) in cluster: 1
-Point(308,948) in cluster: 3
-Point(560,26) in cluster: 1
-Point(270,685) in cluster: 3
-Point(608,784) in cluster: 0
-Point(464,133) in cluster: 1
-Point(150,655) in cluster: 2
-Point(271,154) in cluster: 1
-Point(610,699) in cluster: 0
-Point(181,283) in cluster: 1
-Point(341,259) in cluster: 1
-Point(482,664) in cluster: 3
-Point(615,368) in cluster: 4
